id,string_id,title,URL,rela_link,city,date,source
75,Job_0075,Graduate Studies Program-Technical Researcher,https://www.indeed.com/rc/clk?jk=057c3a3ca9b54b32&fccid=e9870e3159e9c6ac&vjs=3,/Job_pages/75_2021-05-11,"Washington, DC 20505",2021-05-11,Indeed.com 
76,Job_0076,"Hackathon Program Manager, NALA",https://www.indeed.com/rc/clk?jk=64ee6800a086588e&fccid=c267f29f0f85e8b8&vjs=3,/Job_pages/76_2021-05-11,California,2021-05-11,Indeed.com 
77,Job_0077, Computer Scientist NIH-funded research,https://www.indeed.com/rc/clk?jk=51fb21dab15f1c9a&fccid=7455773bace145da&vjs=3,/Job_pages/77_2021-05-11,"Marina del Rey, CA",2021-05-11,Indeed.com 
78,Job_0078, Graphics Architect New College Grad,https://www.indeed.com/rc/clk?jk=4fec16e34cf92522&fccid=c267f29f0f85e8b8&vjs=3,/Job_pages/78_2021-05-11,"Santa Clara, CA",2021-05-11,Indeed.com 
79,Job_0079, Research Programmer I Artificial Intelligence,https://www.indeed.com/rc/clk?jk=b7ca4c2acd7f730b&fccid=7455773bace145da&vjs=3,/Job_pages/79_2021-05-11,"Marina del Rey, CA",2021-05-11,Indeed.com 
80,Job_0080,Workplace Investing Artificial Intelligence Participant Solutions Squad Lead,https://www.indeed.com/rc/clk?jk=b3c03fefbfd6bc8a&fccid=deb234f9dd3edcea&vjs=3,/Job_pages/80_2021-05-11,"Smithfield, RI 02917",2021-05-11,Indeed.com 
81,Job_0081,"R&D Engineer, Sr II",https://www.indeed.com/rc/clk?jk=be16b5ec77e77c24&fccid=6ce9eba87609c3e9&vjs=3,/Job_pages/81_2021-05-11,"Hillsboro, OR 97124",2021-05-11,Indeed.com 
82,Job_0082,Vice President Enterprise Applications,https://www.indeed.com/rc/clk?jk=c650191fb78bd9b7&fccid=874a2cfca52d5937&vjs=3,/Job_pages/82_2021-05-11,"Draper, UT 84020",2021-05-11,Indeed.com 
83,Job_0083, Manager Programmatic Services,https://www.indeed.com/rc/clk?jk=542c439ae4332116&fccid=3d73f189e746988f&vjs=3,/Job_pages/83_2021-05-11,"Los Angeles, CA 90048",2021-05-11,Indeed.com 
84,Job_0084,"Senior Manager, Operational Excellence",https://www.indeed.com/rc/clk?jk=db9cfb110a82a155&fccid=be240c643a8631c5&vjs=3,/Job_pages/84_2021-05-11,"Folsom, CA 95630",2021-05-11,Indeed.com 
85,Job_0085,Project Management,https://www.indeed.com/rc/clk?jk=83f4b8e56c7c12ca&fccid=5d24e3f2d88f23a0&vjs=3,/Job_pages/85_2021-05-11,"Cambridge, MA",2021-05-11,Indeed.com 
86,Job_0086," AI/ML Software Engineer, Information Intelligence",https://www.indeed.com/rc/clk?jk=319f50edcec75d48&fccid=c1099851e9794854&vjs=3,/Job_pages/86_2021-05-11,"Seattle, WA",2021-05-11,Indeed.com 
87,Job_0087,Product Manager,https://www.indeed.com/rc/clk?jk=ec27b0d428ae51c6&fccid=206df618a074cc72&vjs=3,/Job_pages/87_2021-05-11,"San Diego, CA",2021-05-11,Indeed.com 
88,Job_0088,"Senior Data Scientist, Artificial Intelligence Research",https://www.indeed.com/rc/clk?jk=0cd409ac09ab4f40&fccid=2991547aff717aed&vjs=3,/Job_pages/88_2021-05-11,"Nashville, TN 37214",2021-05-11,Indeed.com 
89,Job_0089, Chief Architect US,https://www.indeed.com/rc/clk?jk=e7aa89af9932e72d&fccid=c2a5ad0e5e40f98f&vjs=3,/Job_pages/89_2021-05-11,"Township of Hamilton, NJ",2021-05-11,Indeed.com 
90,Job_0090,Investor Relations Director,https://www.indeed.com/rc/clk?jk=bac1aee014c613f8&fccid=6ce9eba87609c3e9&vjs=3,/Job_pages/90_2021-05-11,"Mountain View, CA",2021-05-11,Indeed.com 
91,Job_0091,Content Writer,https://www.indeed.com/rc/clk?jk=ec2eedfd452b08ed&fccid=3e263cf17592f3f5&vjs=3,/Job_pages/91_2021-05-11,"Cambridge, MA 02142",2021-05-11,Indeed.com 
92,Job_0092,Experienced Full Stack Software Engineer,https://www.indeed.com/rc/clk?jk=843ddd90ce281f3b&fccid=c4dad3c95358e466&vjs=3,/Job_pages/92_2021-05-11,"Colorado Springs, CO 80916",2021-05-11,Indeed.com 
93,Job_0093,"Senior Frontend Engineer, AI Infrastructure",https://www.indeed.com/rc/clk?jk=c69169c2999fb0a0&fccid=c267f29f0f85e8b8&vjs=3,/Job_pages/93_2021-05-11,"Santa Clara, CA",2021-05-11,Indeed.com 
94,Job_0094,Senior Full Stack Developer,https://www.indeed.com/rc/clk?jk=c4103d6be2af8684&fccid=f1582c464db8553b&vjs=3,/Job_pages/94_2021-05-11,"Boise, ID 83706",2021-05-11,Indeed.com 
95,Job_0095,Post Doc– Sensor Chemistry and Materials,https://www.indeed.com/rc/clk?jk=8fc508bbfb39cb14&fccid=fd6a32f24dd4ee0d&vjs=3,/Job_pages/95_2021-05-11,"Palo Alto, CA",2021-05-11,Indeed.com 
96,Job_0096,Product Manager,https://www.indeed.com/rc/clk?jk=b9e9c56909927b45&fccid=89f91243e929a69a&vjs=3,/Job_pages/96_2021-05-11,"Buffalo, NY",2021-05-11,Indeed.com 
97,Job_0097,Senior Talent Acquisition Consultant (100% Remote),https://www.indeed.com/rc/clk?jk=595d574c79d01fed&fccid=d46039b952140fd4&vjs=3,/Job_pages/97_2021-05-11,"New York, NY 10036",2021-05-11,Indeed.com 
98,Job_0098,Corporate Strategy Director,https://www.indeed.com/rc/clk?jk=350abd230a28d02d&fccid=f1374be6a45f4b8a&vjs=3,/Job_pages/98_2021-05-11,"Santa Clara, CA 95052",2021-05-11,Indeed.com 
99,Job_0099,SAP PTP and MM,https://www.indeed.com/rc/clk?jk=74b9d60f81791f42&fccid=105ecfd0283f415f&vjs=3,/Job_pages/99_2021-05-11,"Princeton, NJ",2021-05-11,Indeed.com 
100,Job_0100, Designer AI Creative Design,https://www.indeed.com/rc/clk?jk=1ff9391f8bb44475&fccid=1639254ea84748b5&vjs=3,/Job_pages/100_2021-05-11,Remote,2021-05-11,Indeed.com 
101,Job_0101,Senior Data Engineer,https://www.indeed.com/rc/clk?jk=163defe0675e9325&fccid=2991547aff717aed&vjs=3,/Job_pages/101_2021-05-11,"Atlanta, GA 30309",2021-05-11,Indeed.com 
102,Job_0102,"ASIC Digital Design Engineer, Staff",https://www.indeed.com/rc/clk?jk=aa33704358771d17&fccid=6ce9eba87609c3e9&vjs=3,/Job_pages/102_2021-05-11,"Mountain View, CA",2021-05-11,Indeed.com 
103,Job_0103," Manager, IT Business Analysis Reporting & Data Insights",https://www.indeed.com/rc/clk?jk=a6e7e400c8ce86c5&fccid=e4d2cdc3f0f5689d&vjs=3,/Job_pages/103_2021-05-11,Remote,2021-05-11,Indeed.com 
104,Job_0104, IT Internship Summer 2021,https://www.indeed.com/rc/clk?jk=9426d8a28e4c0d72&fccid=d40ebe11fc879426&vjs=3,/Job_pages/104_2021-05-11,"San Diego, CA",2021-05-11,Indeed.com 
105,Job_0105,Assistant Vice President,https://www.indeed.com/rc/clk?jk=4d35178706bde207&fccid=1392500f835bba92&vjs=3,/Job_pages/105_2021-05-11,"New York, NY",2021-05-11,Indeed.com 
106,Job_0106," AI/ML Annotation Analyst, French Canadian Language",https://www.indeed.com/rc/clk?jk=402031e15b8eff9f&fccid=c1099851e9794854&vjs=3,/Job_pages/106_2021-05-11,"Austin, TX",2021-05-11,Indeed.com 
107,Job_0107,Mechanical Design Engineer,https://www.indeed.com/rc/clk?jk=ff9a7aa14537d1ae&fccid=f1374be6a45f4b8a&vjs=3,/Job_pages/107_2021-05-11,"Folsom, CA 95630",2021-05-11,Indeed.com 
108,Job_0108,Dark Web Intelligence Analyst,https://www.indeed.com/rc/clk?jk=7b53292e021926f0&fccid=01d35d72db858e81&vjs=3,/Job_pages/108_2021-05-11,"Morgantown, WV",2021-05-11,Indeed.com 
109,Job_0109," Postdoctoral Fellow Artificial Intelligence/Machine Learning, Biancalani Lab",https://www.indeed.com/rc/clk?jk=896f47c28f6d1081&fccid=2525cc4a9a704809&vjs=3,/Job_pages/109_2021-05-11,"South San Francisco, CA 94080",2021-05-11,Indeed.com 
110,Job_0110,Artificial Intelligence Research Intern,https://www.indeed.com/rc/clk?jk=f17a39050345b5ac&fccid=30bd8a58380c700b&vjs=3,/Job_pages/110_2021-05-11,"McLean, VA",2021-05-11,Indeed.com 
111,Job_0111,Research and Development Intern,https://www.indeed.com/rc/clk?jk=0e9d1951458ab7c4&fccid=28bac7b6972fb13b&vjs=3,/Job_pages/111_2021-05-11,"San Antonio, TX 78226",2021-05-11,Indeed.com 
112,Job_0112,Customer Success Intern,https://www.indeed.com/rc/clk?jk=f509ec974a34329e&fccid=9a2328cccaf99c02&vjs=3,/Job_pages/112_2021-05-11,"Moffett Field, CA 94035",2021-05-11,Indeed.com 
113,Job_0113,Artificial Intelligence Software and Systems Architect,https://www.indeed.com/rc/clk?jk=38cc609963a050e3&fccid=aeb15e43a6800b9d&vjs=3,/Job_pages/113_2021-05-11,"Baltimore, MD 21220",2021-05-11,Indeed.com 
114,Job_0114,"Sr. Manager, Cloud Infrastructure Finance",https://www.indeed.com/rc/clk?jk=de1edd6fcd39b154&fccid=0562f887e2bed9ea&vjs=3,/Job_pages/114_2021-05-11,"Santa Clara, CA",2021-05-11,Indeed.com 
115,Job_0115,DevOps Automation Engineer,https://www.indeed.com/rc/clk?jk=eed2858978e0dfd8&fccid=2525cc4a9a704809&vjs=3,/Job_pages/115_2021-05-11,"South San Francisco, CA 94080",2021-05-11,Indeed.com 
116,Job_0116,Facilities Manager,https://www.indeed.com/rc/clk?jk=442f59f354026026&fccid=c0842230d306ba2a&vjs=3,/Job_pages/116_2021-05-11,"Redwood City, CA 94063",2021-05-11,Indeed.com 
117,Job_0117,ASSOCIATE IN RESEARCH,https://www.indeed.com/rc/clk?jk=a04373b387357c1c&fccid=e7f8960941757ea0&vjs=3,/Job_pages/117_2021-05-11,"Durham, NC 27710",2021-05-11,Indeed.com 
